Date,Day,Num_Day,Month,Num_Month,Year,Time,Author,Message,Letters,Words
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,08:39:00,user 37,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,08:40:00,user 37,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,08:41:00,user 37,Se vende gran remate,20,4
23/11/2021,Martes,23,Nov,11,2021,08:42:00,user 43,En cuanto,9,2
23/11/2021,Martes,23,Nov,11,2021,09:02:00,user 44,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,09:55:00,user 45,"""RODOLFO HERNÁNDEZ EL... Rodolfo Hernández Presidente 2022-2026 | Facebook"" LLLL",80,10
23/11/2021,Martes,23,Nov,11,2021,10:34:00,user 28,Buenos días. Por favor si alguien sabe si aquí en Santa hay Efecty. Gracias,75,14
23/11/2021,Martes,23,Nov,11,2021,10:36:00,user 46,Si,2,1
23/11/2021,Martes,23,Nov,11,2021,10:36:00,user 46,En el barro y en Coopasana,26,6
23/11/2021,Martes,23,Nov,11,2021,10:48:00,user 28,Mil gracias por responder. Buen dia,35,6
23/11/2021,Martes,23,Nov,11,2021,10:48:00,user 47,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,11:18:00,user 48,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,11:33:00,user 29,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,12:10:00,user 49,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,12:19:00,user 18,Entrega de la Botella con cuarzo a su ganadoraFinca Green Park🥳🥳👏👏👏Anímense a comprar boletas para la rifa del concierto de KAROL G hay muchas disponibles.  Compra la tuya en el whatsapp  NNNN #elrefugioanimalhuellavitalnosnecesita #ayuda#ayudameaayudar #rifa#Padrinos #Madrinashttps://www.instagram.com/p/CWoCrINJeJ7/?utm_medium=share_sheet,341,38
23/11/2021,Martes,23,Nov,11,2021,12:59:00,user 50,Busco quien haga 100 delantales para ver quién me pueden recomendar,67,11
23/11/2021,Martes,23,Nov,11,2021,13:04:00,user 51,"Donde puedo conseguir hortensias, aqui en santa.Gracias",55,7
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 11,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,Planes de control y prevención frente al tema del hurto en santa elena especialmente parque arvi,96,16
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:24:00,user 10,<Multimedia omitido>,20,2
23/11/2021,Martes,23,Nov,11,2021,13:27:00,user 52,"No es capricho de los comerciantes exigir el carnet. Es un asunto de ley, si no les gusta pueden demandar al estado, pero los comerciantes no tenemos nada que ver con el asunto, solo estamos sobreviviendo.  Por favor respeten.",226,40
23/11/2021,Martes,23,Nov,11,2021,13:28:00,user 11,Alejo no exijas respeto sobre algo que es una realidad para muchos,66,12
23/11/2021,Martes,23,Nov,11,2021,13:28:00,user 11,Lamento haberte ofendido,24,3
23/11/2021,Martes,23,Nov,11,2021,13:28:00,user 11,Pero es una realidad Muchos están perdiendo clientes muchossssss,64,9
23/11/2021,Martes,23,Nov,11,2021,13:29:00,user 11,"Lastima que no interpretes, pero si te ofende, simplemente no lo compartes eso es todo",86,15
23/11/2021,Martes,23,Nov,11,2021,13:29:00,user 11,Los Comerciantes que se están quebrándome no tiene la culpa,59,10
23/11/2021,Martes,23,Nov,11,2021,13:29:00,user 52,Pero no lo pongas como si fuera un capricho de los comerciantes,63,12
